招标单位,年份,地区,新老客户,服装类型,单位,中标情况,报价,成本,限价,评标方法
军队,2023,,,包3,江苏虎豹集团有限公司,,65649442.5,,,
军队,2023,,,包3,新疆际华七五五五职业装有限公司,,63107617.5,,,
军队,2023,,,包3,海澜之家集团股份有限公司,,68435920.8,,,
军队,2023,,,包3,际华三五三四制衣有限公司,,67260442.5,,,
军队,2023,,,包3,山东仙霞服装有限公司,,69456011.4,,,
军队,2023,,,包3,际华三五零二职业装有限公司,,59881066.2,,,
军队,2023,,,包3,吉林省荣发服装服饰有限公司,,67897583.33,,,
军队,2023,,,包3,际华三五三六实业有限公司,,64088611.59,,,
军队,2023,,,包3,凯森蒙集团有限公司,,57031535.34,,,
军队,2023,,,包3,江苏阳光集团有限公司,,66453350,,,
军队,2023,,,包3,南京际华三五〇三服装有限公司,,53461030.5,,,
军队,2023,,,包3,山东希努尔服装有限公司,,64162630,,,
军队,2023,,,包5常服大衣,南京际华三五〇三服装有限公司,,39371469,,,
军队,2023,,,包5常服大衣,江苏阳光集团有限公司,,47852117,,,
军队,2023,,,包5常服大衣,凯森蒙集团有限公司,,45310892.17,,,
军队,2023,,,包5常服大衣,上海宝鸟服饰有限公司,,49182213,,,
军队,2023,,,包5常服大衣,吉林省荣发服装服饰有限公司,,49251372,,,
军队,2023,,,包5常服大衣,际华三五三六实业有限公司,,45003335.79,,,
军队,2023,,,包5常服大衣,际华三五零二职业装有限公司,,44325906.3,,,
军队,2023,,,包5常服大衣,山东仙霞服装有限公司,,49164623.79,,,
军队,2023,,,包5常服大衣,北京方仕工贸有限公司,,45283525,,,
军队,2023,,,包5常服大衣,际华三五三四制衣有限公司,,46870564.5,,,
军队,2023,,,包5常服大衣,海澜之家集团股份有限公司,,47281317.12,,,
军队,2023,,,包5常服大衣,新疆际华七五五五职业装有限公司,,41534288.12,,,
军队,2023,,,包5常服大衣,江苏虎豹集团有限公司,,49200453,,,
军队,2023,,,包5常服大衣,际华三五〇六纺织服装有限公司,,47773830.84,,,
中国船舶重工集团公司第七一三研究所,2023,河南,新,羽绒服,波司登股份有限公司,1,1205760,,,
中国船舶重工集团公司第七一三研究所,2023,河南,新,羽绒服,海澜之家集团股份有限公司,0,925532,,,
呼伦贝尔农垦食品集团有限公司,2023,内蒙古,新,西服,报喜鸟控股股份有限公司,1,5741516,,,"1.评审基准价：所有有效响应报价的算数平均值。
2. 以评审基准价为，响应报每高于的 以评审基准价为，响应报每高于的 以评审基准价为，响应报每高于的 1% ，扣 0.3 分，每低于评审基准价的 1% ，扣 0.2 分。
3. 计算结果保留 2位"
呼伦贝尔农垦食品集团有限公司,2023,内蒙古,新,西服,浙江乔顿服饰股份有限公司,0,6471120,,,"1.评审基准价：所有有效响应报价的算数平均值。
2. 以评审基准价为，响应报每高于的 以评审基准价为，响应报每高于的 以评审基准价为，响应报每高于的 1% ，扣 0.3 分，每低于评审基准价的 1% ，扣 0.2 分。
3. 计算结果保留 2位"
呼伦贝尔农垦食品集团有限公司,2023,内蒙古,新,西服,浙江乔治白服饰股份有限公司,0,5648322,,,"1.评审基准价：所有有效响应报价的算数平均值。
2. 以评审基准价为，响应报每高于的 以评审基准价为，响应报每高于的 以评审基准价为，响应报每高于的 1% ，扣 0.3 分，每低于评审基准价的 1% ，扣 0.2 分。
3. 计算结果保留 2位"
呼伦贝尔农垦食品集团有限公司,2023,内蒙古,新,西服,武汉天鸣集团有限公司,0,6531594,,,"1.评审基准价：所有有效响应报价的算数平均值。
2. 以评审基准价为，响应报每高于的 以评审基准价为，响应报每高于的 以评审基准价为，响应报每高于的 1% ，扣 0.3 分，每低于评审基准价的 1% ，扣 0.2 分。
3. 计算结果保留 2位"
呼伦贝尔农垦食品集团有限公司,2023,内蒙古,新,西服,海澜之家集团股份有限公司,0,5568830,,,"1.评审基准价：所有有效响应报价的算数平均值。
2. 以评审基准价为，响应报每高于的 以评审基准价为，响应报每高于的 以评审基准价为，响应报每高于的 1% ，扣 0.3 分，每低于评审基准价的 1% ，扣 0.2 分。
3. 计算结果保留 2位"
北银置业有限公司,2023,北京,新,西服,海澜之家集团股份有限公司,1,26606,,,低价优先，30
江苏高速公路工程养护公司 ,2023,江苏,新,西服,海澜之家集团股份有限公司,0,1390000,,,评标价得分计算公式示例： （1）如果投标人的评标价>评标基准价，则评标价得分＝F－偏差率×100× E1.（2）如果投标人的评标价≤评标基准价，则评标价得分＝F＋偏差率×100×E2其中：F=40 是评标价所占的权重分值，E1 是评标价每高于评标基准价一个百分点的扣分值，E2 是评标价每低于评标基准价一个百分点的扣分值； E1=0.2；E2=0.1。
江苏高速公路工程养护公司 ,2023,江苏,新,西服,雅戈尔集团股份有限公司,1,1280000,,,
江苏高速公路工程养护公司 ,2023,江苏,新,西服,南京雅居商品,0,950000,,,
河南民权农村商业银行股份有限公司,2023,河南,新,西服,海澜之家集团股份有限公司,,1511800,,,
中国人寿保险股份有限公司湖北省分公司,2023,湖北,老,西服,海澜之家集团股份有限公司,0,1180,,,格分应当采用低价优先法计算，即满足招标文件要求且投标价格最低的投标报价为评标基准价，其价格分为满分。其他投标人的价格分统一按照下列公式计算：投标报价得分=(评标基准价／投标报价)×30；
中国人寿保险股份有限公司湖北省分公司,2023,湖北,老,西服,蓝豹股份有限公司,1,,,,格分应当采用低价优先法计算，即满足招标文件要求且投标价格最低的投标报价为评标基准价，其价格分为满分。其他投标人的价格分统一按照下列公式计算：投标报价得分=(评标基准价／投标报价)×30；
鞍钢联众（广州）不锈钢有限公司,2023,广东,新,工装,海澜之家集团股份有限公司,,1190400,1046317.02,,最低价中标
济南高新控股集团有限公司,2023,山东,新,西服,海澜之家集团股份有限公司,1,2990,,3000,
深信服科技股份有限公司,2023,广东,新,文化衫,海澜之家集团股份有限公司,,848000,,875000,
安庆横江集团有限责任公司,2023,安徽,新,工装,海澜之家集团股份有限公司,0,244245,,255000,"3.1.1评审基准值（A值）：
所有通过合格性评审的报价的算术平均值作为A值。
3.1.2报价得分(C值)按以下公式计算（得分保留小数点后两位）：
C＝100－	│Fi－A│	×100×K
	A	
式中：
C----报价得分
A----评审基准值
Fi----通过 符合性评审的供应商最终报价（i=1、2、3、4……）
若Fi≥A，则K＝1；若Fi＜A，则K＝0.3。
报价得分保留小数点后两位，报价得分扣至0分为止。"
